day,sessions,input_tokens,output_tokens,cache_read_tokens,api_calls,tool_calls,compress_ends,zero_api_sessions
2026-07-15,2,32474,1745,86142,5,8,0,1
2026-07-16,3,115401,32911,2071012,49,95,0,0
2026-07-17,11,20826736,592602,207027953,1280,1548,4,0
2026-07-18,17,8978204,225060,48199024,384,421,1,0
2026-07-19,87,11110415,442830,175377487,743,13456,85,0
2026-07-20,46,11094385,907195,158235210,1440,2995,3,0
2026-07-21,15,5087320,424131,97456744,527,1083,3,2
2026-07-22,16,6446244,316171,65024511,445,901,2,1
2026-07-23,6,369960,17604,1947459,54,53,0,2
2026-07-24,8,4549802,118634,27176064,210,233,1,5
2026-07-25,5,0,0,0,0,0,0,5
2026-07-26,3,0,0,0,0,0,0,3
