id,day,title,api_calls,tool_calls,cache_read_tokens,input_tokens,end_reason
cron_bde6f3326c60_20260721_000022,2026-07-21,knowledge-os-lint · Jul 21 00:00,7,6,160787,36139,ws_orphan_reap
cron_556af588d4cd_20260721_023023,2026-07-21,knowledge-os-nightly · Jul 21 02:33,27,33,1084647,92158,ws_orphan_reap
cron_bde6f3326c60_20260721_060024,2026-07-21,knowledge-os-lint · Jul 21 06:01,15,15,412408,40618,ws_orphan_reap
cron_675506b90337_20260721_070024,2026-07-21,knowledge-os-daily · Jul 21 07:08,45,85,3446675,124472,cron_complete
cron_bde6f3326c60_20260721_120026,2026-07-21,knowledge-os-lint · Jul 21 12:01,9,12,225863,34944,cron_complete
cron_bde6f3326c60_20260721_180027,2026-07-21,knowledge-os-lint · Jul 21 18:01,10,9,263408,42041,cron_complete
cron_bde6f3326c60_20260722_000059,2026-07-22,knowledge-os-lint · Jul 22 00:02,12,11,359511,49539,cron_complete
cron_bde6f3326c60_20260722_060001,2026-07-22,knowledge-os-lint · Jul 22 06:01,11,13,312325,48164,cron_complete
cron_675506b90337_20260722_070023,2026-07-22,knowledge-os-daily · Jul 22 07:02,31,49,1360062,69860,cron_complete
cron_bde6f3326c60_20260722_120042,2026-07-22,knowledge-os-lint · Jul 22 12:02,18,20,600659,53866,cron_complete
cron_bde6f3326c60_20260722_180040,2026-07-22,knowledge-os-lint · Jul 22 18:02,12,14,353707,42914,cron_complete
cron_bde6f3326c60_20260723_000041,2026-07-23,knowledge-os-lint · Jul 23 00:01,14,15,409557,40715,cron_complete
cron_bde6f3326c60_20260723_060043,2026-07-23,knowledge-os-lint · Jul 23 06:01,14,14,435834,44372,cron_complete
cron_675506b90337_20260723_070043,2026-07-23,knowledge-os-daily · Jul 23 07:01,6,6,153332,34308,cron_complete
cron_bde6f3326c60_20260723_120006,2026-07-23,knowledge-os-lint · Jul 23 12:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260723_180008,2026-07-23,knowledge-os-lint · Jul 23 18:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260724_000009,2026-07-24,knowledge-os-lint · Jul 24 00:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260724_060009,2026-07-24,knowledge-os-lint · Jul 24 06:00,0,0,0,0,cron_complete
cron_675506b90337_20260724_070008,2026-07-24,knowledge-os-daily · Jul 24 07:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260724_120010,2026-07-24,knowledge-os-lint · Jul 24 12:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260724_180011,2026-07-24,knowledge-os-lint · Jul 24 18:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260725_000013,2026-07-25,knowledge-os-lint · Jul 25 00:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260725_060015,2026-07-25,knowledge-os-lint · Jul 25 06:00,0,0,0,0,cron_complete
cron_675506b90337_20260725_070015,2026-07-25,knowledge-os-daily · Jul 25 07:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260725_120017,2026-07-25,knowledge-os-lint · Jul 25 12:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260725_180018,2026-07-25,knowledge-os-lint · Jul 25 18:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260726_000020,2026-07-26,knowledge-os-lint · Jul 26 00:00,0,0,0,0,cron_complete
cron_bde6f3326c60_20260726_060022,2026-07-26,knowledge-os-lint · Jul 26 06:00,0,0,0,0,cron_complete
cron_675506b90337_20260726_070022,2026-07-26,knowledge-os-daily · Jul 26 07:00,0,0,0,0,cron_complete
